"hour","F0","F0.09","F0.17","F0.26","F0.34","F0.43","F0.52","F0.6","F0.69","F0.78","F0.86","F0.95","F1.03","F1.12","F1.21","F1.29","F1.38","F1.46","F1.55","F1.64","F1.72","F1.81","F1.89","F1.98","F2.07","F2.15","F2.24","F2.33","F2.41","F2.5","F2.58","F2.67","F2.76","F2.84","F2.93","F3.01","F3.1","F3.19","F3.27","F3.36","F3.45","F3.53","F3.62","F3.7","F3.79","F3.88","F3.96","F4.05","F4.13","F4.22","F4.31","F4.39","F4.48","F4.57","F4.65","F4.74","F4.82","F4.91","F5","F5.08","F5.17","F5.25","F5.34","F5.43","F5.51","F5.6","F5.68","F5.77","F5.86","F5.94","F6.03","F6.12","F6.2","F6.29","F6.37","F6.46","F6.55","F6.63","F6.72","F6.8","F6.89","F6.98","F7.06","F7.15","F7.24","F7.32","F7.41","F7.49","F7.58","F7.67","F7.75","F7.84","F7.92","F8.01","F8.1","F8.18","F8.27","F8.35","F8.44","F8.53","F8.61","F8.7","F8.79","F8.87","F8.96","F9.04","F9.13","F9.22","F9.3","F9.39","F9.47","F9.56","F9.65","F9.73","F9.82","F9.91","F9.99","F10.08","F10.16","F10.25","F10.34","F10.42","F10.51","F10.59","F10.68","F10.77","F10.85","F10.94"
"10",0,0,0.0138888888888889,0,0,0.0277777777777778,0.0555555555555556,0,0.0416666666666667,0.0138888888888889,0.0416666666666667,0,0,0,0,0,0,0,0.0138888888888889,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0.0277777777777778,0.0138888888888889,0.0555555555555556,0,0.0138888888888889,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0.0277777777777778,0.0138888888888889,0.0277777777777778,0.0416666666666667,0.0694444444444444,0.0138888888888889,0.0833333333333333,0.0138888888888889,0.0277777777777778,0.0138888888888889,0,0.0138888888888889,0.0138888888888889,0,0.0416666666666667,0.0277777777777778,0.0138888888888889,0,0,0.0138888888888889,0,0,0,0.0138888888888889,0,0.0138888888888889,0,0,0.0138888888888889,0.0138888888888889,0,0.0138888888888889,0.0138888888888889,0,0,0.0138888888888889,0,0.0138888888888889,0.0138888888888889,0.0138888888888889,0,0,0.0138888888888889,0.0138888888888889,0,0,0.0138888888888889,0.0138888888888889,0,0,0,0,0.0138888888888889,0.0138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138888888888889,0.0138888888888889,0,0.0277777777777778,0.0138888888888889,0,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0.0138888888888889,0,0,0,0,0.0138888888888889,0.0277777777777778,0.0277777777777778,0.0277777777777778,0,0,0,0.0138888888888889,0.0138888888888889,0,0,0.0277777777777778,0.0138888888888889,0.0138888888888889,0,0,0.0138888888888889,0,0,0,0,0,0.0138888888888889,0,0,0,0.0138888888888889,0,0.0138888888888889,0,0,0,0.0138888888888889,0,0,0.0138888888888889,0,0,0.0138888888888889,0,0,0.0138888888888889,0,0,0,0,0,0,0.0138888888888889,0,0,0,0.0138888888888889,0,0,0,0,0,0.0138888888888889,0,0.0138888888888889,0,0,0,0,0.0277777777777778,0.0138888888888889,0,0,0,0,0,0,0,0.0138888888888889,0,0,0.0277777777777778,0,0.0138888888888889,0,0,0.0277777777777778,0.0138888888888889,0,0.0277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0.0138888888888889,0.0138888888888889,0.0138888888888889,0.0277777777777778,0,0,0,0.0138888888888889,0.0138888888888889,0.0138888888888889,0,0.0416666666666667,0.0138888888888889,0.0138888888888889,0.0138888888888889,0.0138888888888889,0,0,0.0138888888888889,0.0138888888888889,0,0.0138888888888889,0.0138888888888889,0,0.0277777777777778,0,0.0277777777777778,0,0,0.0416666666666667,0,0,0.0138888888888889,0,0.0277777777777778,0.0138888888888889,0,0.0138888888888889,0.0138888888888889,0,0.0138888888888889,0.0138888888888889,0.0138888888888889,0,0.0138888888888889,0.0277777777777778,0,0.0277777777777778,0.0138888888888889,0.0138888888888889,0.0138888888888889,0,0.0138888888888889,0,0.0277777777777778,0.0138888888888889,0,0.0277777777777778,0,0.0277777777777778,0,0,0.0416666666666667,0,0,0,0.0555555555555556,0,0,0.0277777777777778,0.0138888888888889,0,0,0,0.0416666666666667,0,0.0138888888888889,0.0138888888888889,0.0277777777777778,0,0.0138888888888889,0.0277777777777778,0.0138888888888889,0,0.0277777777777778,0,0.0138888888888889,0.0277777777777778,0,0,0.0138888888888889,0.0138888888888889,0.0138888888888889,0,0.0138888888888889,0,0.0138888888888889,0,0,0.0277777777777778,0.0138888888888889,0,0.0138888888888889,0.0138888888888889,0,0.0138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0.0138888888888889,0,0,0,0,0,0.0138888888888889,0,0,0,0,0,0,0,0.0277777777777778,0,0,0.0138888888888889,0.0138888888888889,0,0,0,0,0,0,0.0138888888888889,0,0,0.0138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138888888888889,0,0.0138888888888889,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,0.0138888888888889,0,0,0,0,0.0138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,0,0,0.0138888888888889,0,0,0,0.0138888888888889,0.0138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0.0138888888888889,0.0138888888888889,0,0.0277777777777778,0.0138888888888889,0.0138888888888889,0,0,0.0138888888888889,0,0.0138888888888889,0.0138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0.0138888888888889,0,0,0,0,0,0,0.0138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277777777777778,0.0138888888888889,0.0138888888888889,0.0277777777777778,0,0,0.0138888888888889,0,0.0138888888888889,0,0,0,0,0,0,0.0138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0.0277777777777778,0.0138888888888889,0,0.0138888888888889,0,0,0,0.0138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0.0138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,0,0.0555555555555556,0,0.0277777777777778,0,0,0,0,0,0,0.0138888888888889,0.0138888888888889,0,0.0138888888888889,0.0138888888888889,0,0.0138888888888889,0.0277777777777778,0.0277777777777778,0.0138888888888889,0,0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138888888888889,0.0555555555555556,0,0,0,0,0,0,0,0.0555555555555556,0.0138888888888889,0.0694444444444444,0.125,0.277777777777778,0.125,0.0833333333333333,0.0833333333333333,0.111111111111111,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138888888888889,0.0416666666666667,0.0833333333333333,0.0416666666666667,0.0972222222222222,0.125,0.152777777777778,0.111111111111111,0.0555555555555556,0,0,0.0555555555555556,0.111111111111111,0.0972222222222222,0.152777777777778,0.0138888888888889,0,0,0,0,0,0,0.0138888888888889,0,0,0.0138888888888889,0,0,0,0,0.0138888888888889,0,0.0138888888888889,0,0,0.0138888888888889,0.0138888888888889,0,0.0277777777777778,0,0,0,0.0277777777777778,0,0.0138888888888889,0.0277777777777778,0,0.0138888888888889,0.0277777777777778,0,0.0138888888888889,0.0277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285714285714286,0.614285714285714,0.242857142857143,0,0.0428571428571429,0.0142857142857143,0.114285714285714,0.128571428571429,0.414285714285714,0.185714285714286,0.0285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142857142857143,0.0428571428571429,0.0857142857142857,0.0857142857142857,0.2,0.271428571428571,0.2,0.257142857142857,0.0857142857142857,0.0428571428571429,0.0285714285714286,0.0571428571428571,0.0571428571428571,0.214285714285714,0.242857142857143,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0.848484848484849,0.106060606060606,0.0151515151515152,0.0151515151515152,0.0303030303030303,0.106060606060606,0.333333333333333,0.0909090909090909,0.0151515151515152,0.0606060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151515151515152,0.0606060606060606,0.0606060606060606,0.0454545454545455,0.151515151515152,0.181818181818182,0.257575757575758,0.303030303030303,0.106060606060606,0.106060606060606,0.0909090909090909,0.0606060606060606,0.151515151515152,0.166666666666667,0.121212121212121,0.0454545454545455,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151515151515152,0.787878787878788,0.106060606060606,0.0757575757575758,0,0.0151515151515152,0.318181818181818,0.212121212121212,0.0606060606060606,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0.0454545454545455,0.0303030303030303,0.0303030303030303,0.121212121212121,0.136363636363636,0.348484848484849,0.181818181818182,0.0909090909090909,0.0606060606060606,0.0151515151515152,0.0303030303030303,0.0151515151515152,0.106060606060606,0.106060606060606,0,0.0606060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151515151515152,0,0,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0.621212121212121,0.0757575757575758,0.0606060606060606,0.0909090909090909,0.0303030303030303,0.318181818181818,0.287878787878788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606060606060606,0.0606060606060606,0.151515151515152,0.0909090909090909,0.151515151515152,0.303030303030303,0.227272727272727,0.0606060606060606,0,0.0454545454545455,0.0757575757575758,0.0454545454545455,0.272727272727273,0.106060606060606,0.0151515151515152,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078125,0.421875,0.140625,0.046875,0.078125,0.078125,0.53125,0.171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0.078125,0.046875,0.078125,0.09375,0.234375,0.359375,0.15625,0.046875,0,0.078125,0.125,0.109375,0.28125,0.09375,0.0625,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
